Model,Radius,Test_Accuracy,CV_Accuracy,CV_Std
Logistic Regression,1,0.8846153846153846,0.6839999999999999,0.1203135941892917
Logistic Regression,3,0.8076923076923077,0.692,0.1070857644448857
Logistic Regression,5,0.8076923076923077,0.708,0.1075357103202598
Logistic Regression with Regularization,1,0.8461538461538461,0.7310769230769231,0.1208310473836683
Logistic Regression with Regularization,3,0.8846153846153846,0.7396923076923076,0.1080144631998651
Logistic Regression with Regularization,5,0.8461538461538461,0.724,0.1006092682215262
Random Forest,1,0.9230769230769232,0.7236923076923076,0.0953031910528292
Random Forest,3,0.9230769230769232,0.7630769230769231,0.1123645799020672
Random Forest,5,0.9230769230769232,0.8335384615384616,0.1228012296837223
Neural Network,1,0.8846153846153846,0.7400000095367432,0.1079732546809484
Neural Network,3,0.7692307692307693,0.7163076877593995,0.1138403280710626
Neural Network,5,0.8461538461538461,0.7556923031806946,0.0590528648734382
Neural Network,1,0.8461538461538461,0.7233846187591553,0.0934412435241874
Neural Network,3,0.8846153846153846,0.7320000052452087,0.0983576282161559
Neural Network,5,0.8461538461538461,0.7713846206665039,0.0587007133665457
Neural Network,1,0.8846153846153846,0.755384624004364,0.0997701417464995
Neural Network,3,0.8461538461538461,0.7470769166946412,0.1235705413034489
Neural Network,5,0.8076923076923077,0.7556923270225525,0.057813404965562025
